gene ensembl_gene_id
UBA52 ENSG00000221983
RPL5 ENSG00000122406
RPL11 ENSG00000142676
RPLP0 ENSG00000089157
RPL23A ENSG00000198242
RPLP0P6 ENSG00000213553
RPL27 ENSG00000131469
RPL26 ENSG00000161970
RPL35 ENSG00000136942
RPL35A ENSG00000182899
RPL6 ENSG00000089009
RPL38 ENSG00000172809
RPL7 ENSG00000147604
RPL7A ENSG00000148303
RPL10 ENSG00000147403
RPL14 ENSG00000188846
RPL26L1 ENSG00000037241
RPL8 ENSG00000161016
RPL9 ENSG00000163682
RPL23 ENSG00000125691
RPL12 ENSG00000197958
RPL37 ENSG00000145592
RPL13A ENSG00000142541
RPL18 ENSG00000063177
RPL31 ENSG00000071082
RPL15 ENSG00000174748
RPL19 ENSG00000108298
RPL4 ENSG00000174444
RPL3 ENSG00000100316
RPL30 ENSG00000156482
RPL10A ENSG00000198755
RPL22 ENSG00000116251
RPLP1 ENSG00000137818
RPLP2 ENSG00000177600
RPL37A ENSG00000197756
RPL13 ENSG00000167526
RPL34 ENSG00000109475
RPL36 ENSG00000130255
RPL21 ENSG00000122026
RPL24 ENSG00000114391
RPL28 ENSG00000108107
RPL41 ENSG00000229117
RPL29 ENSG00000162244
RPL39 ENSG00000198918
RPL17 ENSG00000265681
RPL18A ENSG00000105640
RPL27A ENSG00000166441
RPL32 ENSG00000144713
RPL36A ENSG00000241343
RPL10L ENSG00000165496
RPL37AP8 NA
RPL3L ENSG00000140986
RPL39L ENSG00000163923
RPL39P5 NA
RPL36AL ENSG00000165502
MRPS18A ENSG00000096080
MRPL42 ENSG00000198015
MRPL11 ENSG00000174547
MRPL18 ENSG00000112110
MRPL16 ENSG00000166902
MRPL20 ENSG00000242485
MRPL23 ENSG00000214026
MRPL55 ENSG00000162910
MRPL12 ENSG00000262814
MRPL3 ENSG00000114686
MRPL13 ENSG00000172172
MRPL15 ENSG00000137547
MRPS30 ENSG00000112996
MRPL41 ENSG00000182154
MRPL17 ENSG00000158042
MRPL36 ENSG00000171421
MRPL28 ENSG00000086504
MRPL54 ENSG00000183617
MRPL52 ENSG00000172590
MRPL10 ENSG00000159111
MRPL21 ENSG00000197345
MRPL46 ENSG00000259494
MRPL22 ENSG00000082515
MRPL2 ENSG00000112651
MRPL4 ENSG00000105364
MRPL37 ENSG00000116221
MRPL51 ENSG00000111639
MRPL30 ENSG00000185414
MRPL27 ENSG00000108826
MRPL35 ENSG00000132313
MRPL47 ENSG00000136522
MRPL14 ENSG00000180992
MRPL34 ENSG00000130312
MRPL32 ENSG00000106591
MRPL9 ENSG00000143436
MRPL1 ENSG00000169288
MRPL49 ENSG00000149792
MRPL57 ENSG00000173141
MRPL24 ENSG00000143314
MRPL45 ENSG00000278845
MRPL43 ENSG00000055950
MRPL33 ENSG00000243147
MRPL19 ENSG00000115364
RPS3 ENSG00000149273
RPS27A ENSG00000143947
RPS5 ENSG00000083845
RPS13 ENSG00000110700
RPS4X ENSG00000198034
RPS9 ENSG00000170889
RPS11 ENSG00000142534
RPS19 ENSG00000105372
RPS7 ENSG00000171863
RPS17 ENSG00000182774
RPS27 ENSG00000177954
RPS28 ENSG00000233927
RPS15A ENSG00000134419
RPS24 ENSG00000138326
RPS14 ENSG00000164587
RPS15 ENSG00000115268
RPS16 ENSG00000105193
RPS3A ENSG00000145425
RPS8 ENSG00000142937
RPSA ENSG00000168028
RPS23 ENSG00000186468
RPS6 ENSG00000137154
RPS12 ENSG00000112306
RPS25 ENSG00000118181
RPS21 ENSG00000171858
RPS18 ENSG00000231500
RPS10 ENSG00000124614
RPS29 ENSG00000213741
RPS20 ENSG00000008988
RPS26 ENSG00000197728
RPS2 ENSG00000140988
FAU ENSG00000149806
RPS27L ENSG00000185088
RPSA2 NA
RPS4Y2 ENSG00000280969
RPS4Y1 ENSG00000129824
MRPS7 ENSG00000125445
MRPS2 ENSG00000122140
MRPS18C ENSG00000163319
MRPS6 ENSG00000243927
MRPS17 ENSG00000239789
MRPS34 ENSG00000074071
MRPS31 ENSG00000102738
MRPS15 ENSG00000116898
MRPS9 ENSG00000135972
MRPS16 ENSG00000182180
MRPS22 ENSG00000175110
MRPS14 ENSG00000120333
MRPS25 ENSG00000131368
MRPS23 ENSG00000181610
DAP3 ENSG00000132676
MRPS18B ENSG00000204568
MRPS33 ENSG00000090263
MRPS21 ENSG00000266472
MRPS35 ENSG00000061794
MRPS12 ENSG00000128626
MRPS24 ENSG00000062582
MRPS11 ENSG00000181991
MRPS5 ENSG00000144029
RPL7L1 ENSG00000146223
RPS10P5 ENSG00000101278
RPL22L1 ENSG00000163584
RPL13AP3 ENSG00000177350
NDUFA7 ENSG00000267855
RSL24D1 ENSG00000137876
RNA5-8SN5 ENSG00000274917
RNA5S1 ENSG00000199352
RNA5S9 ENSG00000201321
LINC01004 NA
LZTS1-AS1 ENSG00000253733
SRBD1 ENSG00000068784
